,QUESTION_TITLE,QUESTION_BODY,ACCEPTED_ANSWER_BODY,QUESTION_FAVORITES,QUESTION_SCORE,QUESTION_VIEWS,ANSWER_SCORE,ANSWER_COMMENT_COUNT,QUESTION_BODY_HAS_CODE,ACCEPTED_ANSWER_BODY_HAS_CODE
1069,the value of a comparison expression in perl,"I'm rather confused about the value of a comparison expression in perl：  I get the following results：  So, why the result of ""1>2"" is empty ? The book tells me that ""$a>$b"" is 0 or 1 .","Ok, grab yourself a coffee, as it's time to go down the rabbit hole of perl and dualvars. The thing that's happening here is - perl does some magic with 'boolean' values results.  As you may know - in perl ""false"" is (pretty much) anything that evaluates to zero or an empty string.  So  is false, but so is  (and a bunch of other things). Perl usually infers from context, and the magic 'just works'.  But... what about printing the result of your boolean? Well, as it turns out, because it could be either ""empty string"" or ""0"" perl creates a dualvar.  This is specifically a thing that has both values.  If you tried these operations on a normal value:  You would get   You can replicate this magic, using :  Mostly you won't need to though - this is something that can do really odd things if you meddle too much. But often 'results' are dualvars, such as  and .   This prints:  In the context of your question - it's because either empty string or zero are 'false' and perl doesn't know what kind of 'false' you'll be needing. So it gives you both.  And because you're doing a  perl decides that you're using strings now, and uses the string part of the dual var - the empty string.  You could instead do:  Adding zero forces a switch to 'numeric' and gives you:  But the long and short of it really is - don't do what you're doing, it's bad style. If you need a particular value if something is false - then spell out what that value is. There's nothing wrong with:  Or: ",,1,84,4,1,1,1
1070,Proving equality between instances of dependent types,"When attempting to formalize the class which corresponds to an algebraic structure (for example the class of all monoids), a natural design is to create a type  as a product type which models all the required fields (an element , an operator , proofs that the monoid laws are satisfied etc.). In doing so, we are creating a map .  A possible drawback of this approach is that given a monoid  (a monoid with support type ) and   (a monoid wih support type ), we cannot even write the equality  (let alone prove it) because it is ill-typed. An alternative design would be to create a type  where the support type is just another field , so that given , it is always meaningful to ask whether . Somehow, one would like to argue that if  and  have the same supports () and the operators are equals (, which may be achieved thanks to some extensional equality axiom), and that the proof fields do not matter (because we have some proof irrelevance axiom) etc. , then . Unfortunately, we can't event express the equality  because it is ill-typed...  To simplify the problem, suppose we have:  I would like to have results of the form:  This statement is ill-typed so we can't have it.  I may have axioms allowing me to prove that two types  and  are same, and I may be able to show that  and  are indeed the same too, but I want to have a tool allowing me to conclude that . Any suggestion is welcome. ","A low-tech way to prove this is to insert a manual type-cast, using the provided equality. That is, instead of having an assumption , you have an assumption . Below I explicitly write the cast as a match, but you could also make it look nicer by defining a function to do it.  There is a nicer way to hide most of this machinery by using ""heterogenous equality"", also known as JMeq. I recommend the Equality chapter of CPDT for a detailed introduction. Your example becomes  In general, although this particular theorem can be proved without axioms, if you do the formalization in this style you are likely to encounter goals that can not be proven in Coq without axioms about equality. In particular, injectivity for this kind of dependent records is not provable. The JMEq library will automatically use an axiom  about heterogeneous equality, which makes it quite convenient.",,2,205,4,0,1,1
1071,Repeated data in html table,"I am struggling with  in  for a bit complex (for a beginner like me) table. Data I have is:  And the table should look something like:  What I've tried:  But the issue here is that I am not sure how to repeat all maps here, because now all I can do is exclusively repeat just  but not all the array elements (i/e/ all maps).","The problem here is not really an Angular problem, but rather a problem in how you can loop to the data from the array into a table that is not shapped the same way.  The products are also not an array, but a list of properties on an object.   Se also https://docs.angularjs.org/api/ng/directive/ngRepeat Example: http://jsbin.com/kedezup/3/edit?html,js,output",,1,691,4,0,1,1
1072,Producing multiple joins with sqlalchemy statement and expression api,Consider you have the following sql to represent:  Now having the orm models as below:  When doing simple join like:  Will yield eqvivalent expression to above original sql.   However if I want to do something like:  By writing:  This yield an error saying something like:  Any idea what is wrong with my syntax for using of two joins? The explanation of how using one  is here.,By subquerying a join you can achieve a multiple join : ,,1,1339,5,0,1,1
1073,Padding and assigning a std::string in c++,"Newbie question. How do I pad a  in c++ and then assign the padded result to a variable? I was looking at  and , but all examples I saw output the result with . For instance:  I wanted something in the lines of:  Are there std functions to accomplish this or do I have to roll my own?",You could use ostringstream with the same format specifiers as for std::cout.  And then ,,2,2664,6,0,1,1
1074,Laravel Array & JSON Casting to Algolia,"I am trying to send some data along to Algolia through the toSearchableArray. Any strings I have stored in my DB are sending along fine, but I hit a roadblock when trying to push nested JSON data along—the information is being sent as a string with characters escaped. This is a sample of the nested object that I am storing in my table (MySQL with a JSON data type):  My model looks like this:  I get an output that looks like this:  As you can see, the 'subjects' attribute is being stored as a string. I know there is attribute casting in 5.5 (I am running 5.5), but I am not too clear on how I would implement the example they have for Array & JSON Casting in my work above. https://laravel.com/docs/5.5/eloquent-mutators#attribute-casting Would anyone be willing to show me an example?","I'd rely on Attribute Casting for this, add a  property in your model and it will be done automatically.  You can also do it manually in your toSearchableArray method with  I answered with more details on this other posts: https://discourse.algolia.com/t/laravel-array-json-casting-to-algolia/4125/2",,0,845,11,0,1,1
1075,How to update a tab layout before switching to another tabs,"I'm working on a project that has tab fragments in android. They are A,B,C and D.So the problem comes when I click tab B there is a button called ""like"" when this button direct to another activity. There we can like or unlike friends. When the back button clicked on that activity the tab B fragment should be updated automatically. I referred so much in the internet but couldn't find a suitable answer to me.  I'm very new to android so I'm asking for your help thanks.. I use this code onResume  ",Did you try  for ViewPager on Call of ,,1,106,1,1,1,1
1076,MethodValidationPostProcessor causes further validation failure,"I'm trying to add Spring Cloud Consul into an existing Spring Boot app with spring validation enabled. It's all good until I run the app, and it fails on the validation of a properties bean annotated with  As far as I got it, here's what happens:   creates a proxy for the properties bean  kicks in and tries to validate the proxy fields and fails with the following:   Here is a minimum project reproducing the issue: https://github.com/bashnesnos/cas-spring-cloud-consul-issue Questions:  If anyone know any work-around to avoid  for a particular bean?  P.S. I've created a ticket for Spring as well https://github.com/spring-projects/spring-boot/issues/11249, but I guess it might easier to ask for a work-around in community.",Your CustomBeanValidationProcessor could implement Ordered. Then you can change the order so it gets invoked earlier.  ,,1,426,1,1,1,1
1077,vector animation for web library,"just wondering around google and could not find a really convincing method (yet) to make an animation web page using my own vector image. I really love to draw and would like my self to go deeper and making an interactive web page (flashless) using my own vector drawing.  I am already have a good understanding about javascript, html and css so if any of you could suggest a mature and well documented library to use as a base for my project that would be awesome. Maybe a little pro cons insight using javascript vs css for web animation will also be good for other newbie like me in the future as a consideration before I dip my toe to the sea.","Fabric.js seems to encompass many modern features of browsers using the canvas. Check it out, I know it supports SVG. http://fabricjs.com/",,1,74,0,1,0,0
1078,Adding bootstrap popover not working,"In my code I am setting the HTML content of my table, and I want to show popover on hover over each cell of table.I am using bootstrap for this. in javascript:  showpopover function:  But , when I hover over the cell, it doesnt show any popover. Am I using 'this' wrongly in showpopover function?",Here is the working Fiddle Hope it helps you! ,,0,93,0,1,1,1
1079,Print unicode string to console OK but fails when redirect to a file. How to fix?,"I have Python 2.7.1 on a Simplified-Chinese version of Windows XP, and I have a program like this(windows_prn_utf8.py):  If I run it on Windows CMD console, it output the right Chinese character '电' ; however, if I try to redirect the command output to a file. I got error.  I realize there is a missing link here. There should be a way to determine, in case 1.txt is generated, whether the unicode character in 1.txt should be encoded in utf-8 or codepage-936 or other encodings.  Then how to fix it? My preference is to have utf-8 encoding in 1.txt . Thank you. ",Set  environmental variable. ,,1,1994,1,1,1,1
1080,http:// vs http://www: Should I use subdomain or permanent redirect,"As far as I can work out,  is technically a subdomain of . Is it better to have  as a separate subdomain (pointing at the same content), or is it better to do a perminent redirect of all traffic from  to  (or visa versa)? Excuse my ignorance, but the reason I ask is that I'm worried that having two locations online (one with the www, one without), could cause problems with SEO, cookies, analytics etc.  Thanks! G","Yes, if it is the same content, then give it a single URI; and redirect example.com -> www.example.com not the other way around (www. is the convention and is where systems will most likely look first). If you host on both urls, then Spiders and other bots may be smart enough to realize that it is the same, but why rely on it when a simple redirect ensures they know? This also means a slightly simple web server setup (only hosting a single domain) and will be easier down the road if you do things like enable ssl or load balancing. The only (arguable) downside to redirects is that it will mean an additional http request if the user gets it wrong.",1.0,1,76,1,1,1,0
1081,iOS MapKit userlocation without initializing the map,"Is it possible to get the users current location, using MapKit or something else, without using the map? Say I just wanted to show the user their current lat/lng, but without the map. When they move the lat/lng updates.","This is exactly the purpose of CoreLocation.framework. At this address http://developer.apple.com/library/ios/#documentation/userexperience/conceptual/LocationAwarenessPG/CoreLocation/CoreLocation.html you can find some nice information on how to get the user's location or you can google ""CoreLocation"" and find a lot of tutorial.",,0,92,1,1,0,0
1082,Hotkey for temporary turning off variable usage highlight in Netbeans,"After my cursor/carret is placed on a variable, its usage in the code is highlighted automatically as in the snapshot below. It distracts me. I want to temporary turn it off. I search for this and got the similar issue here but it relates to the . I'm looking for turning it off for . What is the hotkey to temporary turn off highlight for variable usage? ","From checking the keymap and doing a quick web search, there doesn't currently seem to be a hotkey. However, you can toggle it in the options: (7.0) Tools -> Options -> Editor -> Mark Occurrences. To get a hotkey for this, you can request it or implement it yourself.",,0,60,1,1,1,0
1083,Learn Android Development (Have experience),I have been developing for iOS for at least 3 years and have at least 1 year of experience for Java. For a long time I have been thinking to develop for Android but I do not know which book or course I should start. Any suggestions? P.S I already downloaded Android SDK and eclipse.,i think this is the best video tutorial to start with http://www.youtube.com/watch?v=SUOWNXGRc6g&list=PL33384E9848C4F55E,,0,285,1,1,0,0
1084,php - fwrite edit from line X to line X,"I created a calendar with its data stored in a text file. For the moment, I can only edit one line/day at the same time, but I would like to edit many days (same content from sept 15th to sept 19th for example). How to do this ? My text file with the data looks like this (with $id going from 1 to 31) and $exp is the content I edit.  And the php file allowing the editing looks like this: ","Change   to:  where  and  contain 15 and 19 in your example. BTW, you can use  to read the line and split it into columns in one step, and then  to write it back that way.",,1,131,1,1,1,1
1085,Updating a dataset and displaying it back to datagridview,"I found a way on MDSN to update a dataset and display it back to the datagridview. Almost like refreshing the datagridview. However I'm hoping to find a way to do this with an oledpdataadapter. Here is the code I found below to fill the datagridview with the updated contents, there has to be a way to do this same thing with the oledbdataadapter.  ",Here are the properties and methods of the OleDbDataAdapter Class. You may be able to do something like this: ,,0,90,1,1,1,1
1086,How to prevent signup again into a system,"I have created a signup form and I want to prevent the same user signup to the system again and again. Here is my code and please help me to solve this problem. In the initial sign up only username password and email is considered and after signing to the system user can update their information such as name, gender, education etc:.... ",Before  you run a query to check if the email id or/and username already exist in your database. it would be something like this  check if the result returned is empty or does it contains some rows. If it is empty continue with registering the user otherwise tell the user that he has already reistered and he can not register again.,,0,59,2,1,1,1
1087,How do I find the HTML file that shows the sub navigation on profile page in Buddypress?,"check this out !(http://d3u3luhfiauvsc.cloudfront.net/hello.png) I need to find the php/html file  that shows the submenus on the screenshot under the blue tabs ""personal"",""mentions"",""favourites"".... (on the pic)  I just want to find the php or html file that triggers it.",Frisco inherits lots of files from BP Default. Look in this file:  This function   returns that menu.,,-1,551,2,1,1,1
1088,jooq schema not beeing added to my SQL,"I am trying to use jooq as a SQL generator only, but I cannot seem to get the Schema information to be added to my query:  the SQL generated is: 2013-08-12 17:52:12,008 [INFO] [main] c.j.i.x.c.i.SimpleJDBCReportService[67] : Generated SQL : select ""User Id"" ""User_ID"", ""User_Name"" ""Full_Name"", ""Active Status"" ""Active_Status"", ""Email"" ""Email"", ""Last Login Time"" ""Last_Login_Time"", ""Role"" ""Role6"", ""ID_ROLE"" ""Role_Id"", ""Business Group"" ""Business_Group"", ""Menu Template"" ""Menu_Template"" from ""REP"" according to the documentation present on http://www.jooq.org/doc/2.5/manual-single-page/#runtime-schema-mapping i should see something like: MySchema.""User Id"" ... MySchema.REP I am using version 3.1, any assistance is greatly appreciated Thanks,"," may imply that this schema name is added to every table and column, but that's not the case. The default schema is used to omit rendering of a ""default"" schema name, in case you're using generated tables and column objects. In other words, if you set up your connection to have a default schema, you can tell jOOQ that it doesn't need to render that schema any more. While I can see some potential in generically adding schema names through jOOQ's exposed SPIs, I'm not sure if that's so easy to do, if you're not using the code generator. The simplest solution is to just qualify your table reference:  ",,1,811,2,1,1,1
1089,Paperclip displaying multiple file uploads,"I have multiple files being uploaded using Paperclip, but I am having trouble displaying them.  Here is what I'm trying: Model(s):  Part of my controller:  Part of my form where I store images:  And my show:  I'm getting the same file over and over, every time I upload (even if it's a different file).  Can anyone assist me with this issue?","You're iterating, but running the same code for each attachment link. Using canonical Ruby, it would be closer to: ",,1,106,2,1,1,1
1090,HTML list drill down on JSON array with CSS target selector,In my html file I have a list that I build dynamically from JSON array. I display in each list item only one field of each object (the title). I want to do a drill down when I click on a list item. I saw this article where the dialog implemented without javascript. How can I pass the index of the JSON object from the array with css  or in some othe way? (The purpose is to show a dialog with all object field),"Try to put in your html not only the ""title"" field, but also some Id or any unique field in a hidden input. So you could get it with ""onclick"" and get the object from JSON.",,0,302,2,1,1,0
1091,composer error : 'does not contain valid JS',I am trying to install zendframework2 via Composer on my command line.  the composer command is (taken from Zendframework page)   I received the following message:   Does anyone have any ideas how I can correct this error?,"I think there is something wrong with that repository, try this:  Notice that the --repository-url has been set to https://packagist.org/ and also there is a  -s dev options. Finally be sure to change path/to/install to the right place.",,1,472,2,1,1,1
1092,How to download files from web2py server,"When I wanted to allow someone to download some file from my server using apache, I just copied file to  /var/www folder and sent link to that person. How do I do same thing using apache+web2py configuration? I don't need any fancy security. I just want direct link to file. I tried to google solution, but every solution I found is too complicated for such goal as I'm trying to achieve (i.e. streaming files). There is no easy way to do it?","If you just want to put some files in a folder and serve them directly, you can do that with just apache -- no need for web2py. If you really want web2py to serve the files, you can put them in /web2py/applications/yourapp/static/path/to/file, and serve them with URLs like /yourapp/static/path/to/file. If you want to apply some authentication checks, you can instead put files in the /uploads or /private folder of your web2py app and serve them via a function that calls  (in the case of file uploads based on database ""upload"" fields) or  (in the case of files you manually place on the server).",,0,2280,3,1,0,1
1093,Which Page Load events map to Google Analytics DOM Timings,"Google's documentation is a little unclear to me, and I can't find anything more explicit in terms of Google Analytics' DOM Timings: https://support.google.com/analytics/answer/2383341?hl=en  Avg. Document Interactive Time: The average time (in seconds) that the browser takes to parse the document (DOMInteractive), including the network time from the user's location to your server. At this time, the user can interact with the Document Object Model even though it is not fully loaded. Avg. Document Content Loaded Time: The average time (in seconds) that the browser takes to parse the document and execute deferred and parser-inserted scripts (DOMContentLoaded), including the network time from the user's location to your server. Parsing of the document is finished, the Document Object Model is ready, but referenced style sheets, images, and subframes may not be finished loading. This event is often the starting point for javascript framework execution, e.g., JQuery's onready() callback, etc. Avg Page Load Time: The average amount of time (in seconds) it takes that page to load, from initiation of the pageview (e.g., click on a page link) to load completion in the browser.   My Questions are: 1) Does the Avg. Page Load Time correspond with the $(window).load() event? 2) Does the Avg. Document Content Loaded Time correspond with the $(document).ready() event?  3) What event, if any, does the Avg. Document Interactive Time correspond with?","1) Yes. (But $(window).load() has been deprecated in jQuery, use $(""selector"").on(""load"", function() {});) instead. 2) Yes. (They both refer to the same readyStade property of the Document object) 3) The ""Avg. Document Interactive Time"" corresponds to the readyState property of the document object. There is no corresponding event in jQuery for this but it refers to the time when the user can interact with the DOM. ",,2,975,3,1,0,0
1094,admob with multiple framgents,I have a question about admob. I have an activity with 3 fragments.I have a button on each fragment to go to the next fragment. Fragment 1 -> Fragment 2 -> Fragment 3 Can i have different ads on each fragment? I mean I want to have a banner on  Fragment1 and Fragment2 and an interstitial ad on Fragment3.  I know I can only have one ad per activity. Does it mean that what I want to do is violate the admobs rule? Thanks,"The AdMob publisher guideline has the following about the number of ads per page:  Number of ads per page The number of ads on a single screen should not exceed one if the ad is fixed to the screen top or screen bottom. If the page scrolls, only one ad should be visible on screen at a time.  As can be seen, there is no restriction as to the number of ads per , only that at any point of time, a single screen should not have more than one ad.  So, if your fragments get replaced by each other, and at any point of time only one ad is present on the screen, you can have different ads in these fragments. You also have to consider the different layouts that you present (for example, if all the fragments are shown at a time in a single screen in the tablet layout, you need to take care that only one ad is visible).",,2,996,4,1,0,1
1095,Use unregister_chrdev_region in case registration failed,"I am learning how to write kernel drivers, and I have a doubt about the proper  usage of the function unregister_chrdev_region. Right now I have a simple test module with just the init and  exit functions:  My question: is it safe to call unregister_chrdev_region if the registration failed ? I would assume no, but pretty much all example code that I have seen calls unregister_chrdev_region no matter what happened during the initialization.","Registration rarely fails. If registration fails, init function fails, thus insmod command will not succeed in loading the kernel module i.e. test.ko and device node will not be created. So there is no question of unregistration (rmmod). If registration is successful then only we can unregister the driver i.e. unloading the kernel, removal of device node etc... using rmmod. If in init function registration is successful and some other API fails then need to add goto statements, jump to appropriate goto label to unregister and return the appropriate error value. Hope I have cleared your doubt :-) ",,2,1218,4,1,1,0
1096,junit TestWatcher failed and finished methods firing time,"I am writing some functional tests with webdriver and executing them with JUnit. I am trying to make use of TestWatcher class so everytime an event occurs a specific action could be done. I am overriding the finished and failed methods, but it seems to be that these are fired virtually simultaneously, so the driver has been already disposed by finish method before the failed method could do it's stuff.  The TestWatcher is following:  The test could be something like this:  When i run my test, i am getting a following error:  Any ideas how to get pass it? EDIT: From documentation: protected void  finished(Description description) Invoked when a test method finishes (whether passing or failing) protected void  failed(Throwable e, Description description) Invoked when a test fails It would make sense, that firstly the ""failed"" is called and after that, the ""finished"" is called, but it seems to be the other way around.  ",Your problem is a shared resource that isn't created fresh at every execution. I created a small example that will show this. Take a look at my comment to your comment.,0.0,1,3314,4,1,1,0
1097,Is there any syntaxhighlighter for SAS?,"I need to post SAS code on my website. However, if I do write my HTML to highlight  cod it would take me a long time.  How can I transform the SAS code into nice looking  counterpart?","I would simply copy/paste from your editor into a rich text editor (ie, MS Word or similar) that is capable of producing an HTML file.  Alternately, some text editors like UltraEdit are capable of doing SAS markup.",4.0,9,5941,5,1,1,0
1098,"Why doesn't moveTo(0, 0); lineTo(X, X); draw a 45° line?","I spent a lot of time today trying to do some simple canvas work (which I haven't played with in quite a while), but lines weren't drawing to the right places. It turns out that it was JavaScript and/or Canvas that was screwy, not my math. Given a 2D canvas context, the following:  …draws a line that seems to be at 30° or so, not 45° as expected. Here's a jsFiddle. The only way that this makes sense is if the canvas/context is using non-square pixels… Is that really the case? Whose bright idea might that be? Is there a way to force the canvas to use square pixels instead to make my math easier?","Sounds like you're resizing the canvas with CSS. Resizing in CSS actually does result in stretched drawings. If you need to resize, this will not ""stretch the pixels"": ",,1,1168,5,1,1,1
1099,Integration of SCORM with PHP/Yii,"Practically I am new to  implementation in PHP.  Theoretically I covered these areas before asking a question here - Already looked at Wiki SCORM that what does it means theoretically.(kinda standard to be followed for delivering content). Read about the moodle and SCORM(but may be I need to design my app in Yii, searched extensions but found none at repository). Read most of the stuff at http://scorm.com/ and checked its PHP Library as well. My concerns and queries - I am familiar with PHP so how could I create an app that uploads an SCORM package, test it if its SCORM compliant and then can run the SCORM package. What are the things I need to keep in mind while creating such an app. SCORM cloud looks good but it is costlier http://scorm.com/scorm-solved/scorm-cloud-features/ after 100MB so I am unable to use it for now. Checked  as well but it is another LMS. Please provide me some example of implementation/github code/small app in php from which I can proceed further. I know the solution is going to be little lengthy but believe me before asking I nearly checked all answer https://stackoverflow.com/questions/tagged/scorm and none looks beneficial. FYI - I checked this as well https://cloud.scorm.com/ so what SCORM is clear to me but its link for its implementation in PHP in simple terms found no where.","Having built a SCORM player in PHP, here's what you need: a) An importer, that reads XML from the imsmanifest.xml file and creates a representation in your system, if needed. The most important thing in this file is to find the ""launch point"" of the SCORM content b) A SCORM engine, in javascript, that will communicate with the SCORM content c) A database backend, to store what needs to be stored (based on the specification) (b) above is the most important and difficult part, but it's also relatively easy to find as a complete piece of open source code (for example, efront contains an implementation, inside ) Having said this and having supported SCORM content for years, I can tell you that implementing SCORM from scratch is difficult, but even more difficult is to make it work for all vendors, since there are many implementations each with its own tricky points. If you're doing this for a commercial audience, I would strongly suggest to go with a ready made implementation (scorm.com's is really great, but comes with all the drawbacks you've mentioned). Otherwise you may end up supporting it for much more time than you would want to (and was paid for).",1.0,2,3726,6,1,1,1
1100,Symfony2 using assetic with Angular HTML5 routes,I use an angular front end with Symfony. When I declare my  I have to include my  becuase I set the html 5 mode to true: .  vs  The problem is I have to remember to change those routes back when I want to use the production environment.  I there a good way to handle this perhaps with  when I do a dump to detect I am doing the dump for the  vs  or do I just have to painfully remember to change the paths for the target envirnment? Thanks,Try to use FOSJsRoutingBundle. This bundle allows you to expose your routing in your JavaScript code. That means you'll be able to generate URL with given parameters like you can do with the Router component provided in the Symfony2 core.  https://github.com/FriendsOfSymfony/FOSJsRoutingBundle ,2.0,5,2348,6,1,1,0
1101,Return rows matching elements of input array in plpgsql function,I would like to create a PostgreSQL function that does something like the following:  But I see two problems here:  It is not clear to me that array type is the most useful type of input. This is currently returning zero rows when I do:   What am I missing?,"This works:  Call:  Or (update - example with dollar-quoting):   More about how to quote string literals: Insert text with single quotes in PostgreSQL You don't need dynamic SQL here. While you can wrap it into a plpgsql function (which may be useful), a simple SQL function is doing the job just fine. You have type mismatches.  the result of  may be  to hold a precise result. I cast to  to make it work, which is just an alias for  (you can use either). If you need perfect precision, use  instead. Since you  you want a plain  OUT parameter instead of .    An array is a useful type of input. If it's easier for your client you can also use a  input parameter that allows to pass the array as a list of elements:  Call:   Or (with dollar-quoting):   Be aware that standard Postgres only allows a maximum of 100 elements. This is determined at compile time by the preset option:   Reports the maximum number of function arguments. It is determined by the value of  when building the server. The default value is 100 arguments.  You can still call it with array notation when prefixed with the keyword :  For bigger arrays (100+), I would also use  in a subquery and  to it, which tends to scale better:  Optimizing a Postgres query with a large IN ",2.0,5,2100,7,1,1,1
1102,Calling convention on x64,"I saw in several places that Microsoft calling conventions for  platforms were narrowed down to just one: Caller cleans stack (), and parameters are passed in a combination of stack and registers (I am not going into the exact details here). I assume that if this is the calling convention of the OS, then probably all other compilers targeting Windows (e.g. mingw-w64) follow it, too. Is this calling convention true also on other major platforms ( Linux, etc.)? Or does Linux still use multiple calling conventions, or even just one but a different one? Do  or  allow for multiple calling conventions on  Linux?","I just found the answer here and here. Basically, Windows does it one way, everyone else does it another way, but each platform only does it one way (as opposed to multiple ways per-platform with )",2.0,8,22113,12,1,1,1
1103,"Passing a Map<String,String> to a springMVC controller",I am trying to send a HashMap or any other Map implementation from ajax to a Spring MVC controller  Here's the detail of how I do it :  the Ajax call is as follow  then on the controller side I have :  Unfortunately I systematically get   What am I doing wrong ?  Thank you.,Binding a map in a spring controller is supported the same way as binding an array. No special converter needed! There is one thing to keep in mind though:  Spring uses command object(s) as a top level value holder. A command object can be any class.  So all you need is a wrapper class () which holds a field of type  called tags. The same approach you take to bind an array.  This is explained pretty well in the docs but i kept forgetting the need of the wrapper object once in a while ;) The second thing you need to change is the way you submit the tags values:  use one form parameter per map key and not a full string representation of the complete map. one input value should look like this:   If tags is a map in a wrapper this works out of the box for form submits.,5.0,8,34681,13,1,1,1
1104,Nested JSON to CSV format Node.js,"I am new to programming and am working on a project that received a nested JSON response from an API using node.js.  I am hoping to find a simple method to convert this JSON into a CSV for export.  I have searched around a bit have tried jsonexport and nestedcsv2json packages, but I have not been able to get my format quite right and am unable to iterate though my JSON response. Basically the JSON response is as follows:  The issue I am having is that the size of this can vary depending on the date range that the user enters.  So I will need to iterate through the returned dates and then extract the nested JSON.  It could be one date or 100 dates.   I am looking to make a CSV format with headers that I can export:  This should be quick and easy, but I am struggling to get this quite right.  Any tips or help is greatly appreciated.  Thanks!",This outputs a semicolon separated csv-string. Edit the separator (for example replace it with tab ) to suit your needs:  The output is:  You can find a working example here: https://jsfiddle.net/owd8zsa0/,,0,2013,1,1,1,1
1105,htacess mod_rewrite if file does not exist,"I have the following code in my .htaccess file.  It checks to see if the file exists, and if not it will point it to a php get variable.  The only problem with this, is that when i go to ""http://example.com"" it gives a server misconfiguration message. If I go to ""http://example.com/index.php"" the website loads fine. What do I need to do to make index.php load when I go to my domain without adding the file name?",Try : ,,1,670,1,1,1,1
1106,"Jquery hover box, need a more efficient code","I have three boxes across and one line of text below that changes the text based on which box is hovered over. HTML  and I am running this script with it, which seems amateurishly repetitive.  How would I better code the script to do the same function. Thanks. FIDDLE","Attach the event handler to the class, and give each box a data attribute that links it to the corresponding .        ",,0,60,2,1,1,1
1107,How can i re-write the query in cakephp-3 way?,"Raw sql query:  I'm trying to write this raw sql query in cakephp-3 way. I have made the inner select query in cakephp-3 way:  How can i set alias for this inner query? Then, how can i do inner join with 'Posts' or getting the instance of 'Posts' table how can i do inner join with the inner sql query(the derived comments table)? Thanks in advance. Any answer will be highly appreciated.",The alias for a join is made this way:  In your case: ,,1,273,2,1,1,1
1108,Writing a python function that takes mean of array,I am trying to answer the questions below but I don't understand the error code when I run it (Required argument 'object' (pos 1) not found). Any help will be appreciated.  Write a python function that takes in two arrays and returns: a) the mean of the first array  b) the mean of the second array  c) the Mann-Whitney U-statistic and associated p-value of the two arrays? ,"You are creating new, empty arrays in your functions for no reason. You are also giving them the same name as your input parameters, thus discarding your original input arrays. What you are doing boils down to  All you need to do is delete the useless lines   from your functions. Demo: ",,2,102,2,1,1,1
1109,HTML - How to make text disappear and make different text appear from a press of a button?,"So I'm trying to make this little ""choice game"" of sorts on this website. http://puu.sh/ncAr8/be095ee6e2.png I got up to this but... when you click Sure, it brings you to another page. I don't want to do that. Instead when you click Sure, I want the text and the button to disappear and different text/buttons to appear. Here's my code. Excuse my poor HTML, I'm not so great.  Please help me, I'm pretty bad at HTML and would love some advice as well. Thanks!",I have created a working example from your code. You can check it here pre            The way its works the content that you don't want to show at the beginning set CSS display property to none so that that will be hidden. Then target the button using Jquery and listen for the click event. When it happened simply hide all the elements that you want to hide and show whose will be visible.,,0,8546,2,1,1,1
1110,Capistrano and Bitbucket permission denied,"I'm trying to set up capistrano with my Rails app and hosting using digitalocean. I have a Ubuntu server running unicorn and nginx. My capistrano deploy keeps failing at this stage:  I have generated a ssh key on the server and added it to my bitbucket account. If I ssh into the server and git clone the repo, that works fine. Running ssh -T git@bitbucket.org on the server returns:  staging.rb : ","Your error message shows a  error when trying to create the directory . In other words, your deployer user doesn't have the necessary file permissions. It has nothing to do with your SSH key or Bitbucket. Just make sure that  exists and is owned by . You may need to use  or log in as  to do this.  BTW, I'm not sure placing your app inside  makes sense. If you are using  to deploy (and thus be the owner of) your app, wouldn't it make more sense to put it in ? Or in a ""neutral"" location like  (as Capistrano suggests by default)?",,1,617,2,1,1,1
1111,sscanf unexpected results inside a loop,"I am trying to parse this simple configuration file using  and :  I wrote the following script to parse it, in which sscanf initially seems to be extracting the variables properly then for some unknown reason it mixes them up:  Result:  Expected:  I tried many things to find out what's causing this behaviour but got nothing, I thought it could be that the id and name variables are not null terminated so I manually added \0 at the end and then I thought it could be that the buf is getting overwritten in the loop so I used memset to reset it and also reset all the char arrays and checked the length of everything but I just can't see what's going wrong. Any help would be greatly appreciated.","As was mentioned in the comments, you're not properly adding the null byte to the end of  and  after calling . From the man page:  The strncpy() function is similar, except that not more than n bytes   of src  are copied. Thus, if there is no null byte among the first n   bytes of src, the result will not be null-terminated.  So after using  you need to manually add a null byte as the last byte of the array.  What you're doing instead is using  to find the length of the string.  This function only works if the string is correctly null terminated, which after the  call it might not be. So instead of this:  Do this:  This adds the null byte as the last character. Now to explain the behavior you were seeing: When you first read in , all 8 bytes of this array were populated with the 8 bytes of the string in question.  It printed correctly because  appears in memory immediately after  (I'll explain how I know this momentarily) and  was initialized to all zeros outside of the loop, so the first byte of  (which contains a null byte) effectively terminates . Then when you read in , the null terminator for  (which was actually in ) was overwritten.  Then when you later print , it prints the bytes from  but doesn't find the null byte, so it keeps reading the bytes where  lives until it finds the null terminator for that string and prints .  The fact that  printed this was is how we know that  appears immediately after  in memory (in this particular case). The reason you saw the error with  but not with  is because  wasn't big enough for the string you read in (so null terminator was not added), but  was big enough for its string (so a null terminator was added).",,2,127,3,1,1,1
